pm25,recorded_at
23.0,2021-08-09T11:00:00Z
14.0,2021-08-09T11:00:00Z
4.0,2026-07-14T10:00:00Z
4.0,2020-03-19T14:00:00Z
40.0,2021-08-09T11:00:00Z
11.0,2026-07-14T09:00:00Z
16.9488480951616,2022-02-09T00:00:00Z
14.0,2021-08-09T11:00:00Z
4.98,2020-12-01T00:00:00Z
17.609,2024-02-02T12:00:00Z
15.9,2026-07-14T10:00:00Z
16.3,2026-07-02T03:00:00Z
8.0,2021-08-09T11:00:00Z
0.012,2023-06-22T06:00:00Z
4.3,2026-07-14T09:00:00Z
84.0,2024-04-23T00:00:00Z
16.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
30.0,2024-04-12T22:00:00Z
13.0,2026-04-03T22:00:00Z
25.0,2024-07-11T16:00:00Z
7.0,2026-07-14T09:00:00Z
13.8,2026-07-14T09:00:00Z
16.0,2026-07-14T09:00:00Z
2.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
0.8,2018-03-09T20:00:00Z
8.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
0.486,2024-03-08T06:00:00Z
11.4,2026-07-14T09:00:00Z
6.0,2026-07-14T08:00:00Z
7.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
8.53516,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
2.0,2026-07-14T09:00:00Z
0.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
16.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
11.6,2024-06-13T20:00:00Z
32.0,2026-07-14T08:00:00Z
25.0,2021-08-09T11:00:00Z
4.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
0.0,2026-01-26T20:00:00Z
6.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
23.0,2024-04-12T22:00:00Z
30.393,2025-03-14T21:00:00Z
15.0,2026-07-14T09:00:00Z
1.0,2026-07-14T09:00:00Z
1.77,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
18.0,2024-06-17T21:00:00Z
11.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
7.0,2025-07-30T00:00:00Z
6.0,2026-07-14T09:00:00Z
18.0,2026-07-14T09:00:00Z
34.0,2021-08-09T11:00:00Z
10.0,2026-07-14T09:00:00Z
77.0,2025-03-04T12:00:00Z
11.0,2026-07-14T09:00:00Z
7.0,2018-05-14T19:00:00Z
6.0,2026-07-14T09:00:00Z
10.0,2024-07-11T16:00:00Z
6.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
0.7,2026-07-09T06:00:00Z
9.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
18.0,2024-04-11T16:00:00Z
19.0,2026-07-14T09:00:00Z
10.3,2026-07-14T07:00:00Z
9.0,2026-07-14T09:00:00Z
15.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
22.0,2021-08-09T11:00:00Z
13.63431,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
6.1,2022-07-26T01:00:00Z
1.18,2026-07-14T09:00:00Z
19.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
15.0,2021-08-09T11:00:00Z
14.0,2024-07-11T14:00:00Z
22.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
17.0,2026-07-14T09:00:00Z
16.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
0.0,2023-12-09T17:03:08Z
15.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
2.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
